The printer needs paper.	Der Drucker braucht Papier.
Do you plan to stay long?	Planst du lange hier zu bleiben?
Do you plan to stay long?	Planen Sie lange hier zu bleiben?
Do you really live alone?	Lebst du wirklich allein?
Do you really live alone?	Leben Sie wirklich allein?
Do you really need a car?	Brauchst du wirklich ein Auto?
Do you remember his name?	Erinnerst du dich an seinen Namen?
Do you remember his name?	Erinnerst du dich, wie er heißt?
Do you remember who I am?	Weißt du noch, wer ich bin?
Do you remember who I am?	Wissen Sie noch, wer ich bin?
Do you remember who I am?	Wisst ihr noch, wer ich bin?
Do you speak French well?	Sprichst du gut Französisch?
Do you speak French well?	Sprechen Sie gut Französisch?
Do you speak my language?	Sprichst du meine Sprache?
Do you still believe Tom?	Glaubst du Tom noch?
Do you still believe Tom?	Glaubt ihr Tom noch?
Do you still believe Tom?	Glauben Sie Tom noch?
Do you still hate French?	Hasst du das Französische noch immer?
Do you still play hockey?	Spielst du noch Hockey?
Do you still play tennis?	Spielst du noch immer Tennis?
Do you talk to your cats?	Sprichst du mit deinen Katzen?
Do you talk to your cats?	Sprechen Sie mit Ihren Katzen?
Do you think I want this?	Denkst du, dass ich das will?
Do you think I want this?	Denken Sie, dass ich das will?
Do you think I want this?	Denkt ihr, dass ich das will?
Do you think Tom is dead?	Meinst du, Tom ist tot?
Do you think that's fair?	Findest du das gerecht?
Do you think that's fair?	Findet ihr das gerecht?
Do you think that's fair?	Finden Sie das gerecht?
Do you think that's true?	Glaubst du, das stimmt?
Do you think that's true?	Glaubt ihr, das stimmt?
Do you think that's true?	Glauben Sie, das stimmt?
Do you think that's wise?	Hältst du das für klug?
Do you think that's wise?	Haltet ihr das für klug?
Do you think that's wise?	Halten Sie das für klug?
Do you trust my judgment?	Traust du meinem Urteil?
Do you trust my judgment?	Traut ihr meinem Urteil?
Do you trust my judgment?	Trauen Sie meinem Urteil?
Do you understand French?	Verstehst du Französisch?
Do you understand French?	Verstehen Sie Französisch?
Do you understand French?	Versteht ihr Französisch?
Do you want beef or pork?	Möchtest du Rind oder Schwein?
Do you want me to answer?	Willst du, dass ich antworte?
Do you want me to go now?	Willst du, dass ich jetzt gehe?
Do you want me to go now?	Wollen Sie, dass ich jetzt gehe?
Do you want me to go now?	Wollt ihr, dass ich jetzt gehe?
Do you want some company?	Willst du etwas Gesellschaft haben?
Do you want some company?	Wollen Sie etwas Gesellschaft haben?
Do you want some company?	Wollt ihr etwas Gesellschaft haben?
Do you want to join them?	Willst du dich ihnen anschließen?
Do you want to join them?	Wollen Sie sich ihnen anschließen?
Do you want to join them?	Wollt ihr euch ihnen anschließen?
Do you want to know more?	Möchtest du mehr erfahren?
Do you want to leave now?	Willst du jetzt gehen?
Do you want to leave now?	Wollen Sie jetzt gehen?
Do you want to leave now?	Wollt ihr jetzt gehen?
Do you want to risk that?	Willst du das riskieren?
Do you want to risk that?	Wollt ihr das riskieren?
Do you want to risk that?	Wollen Sie das riskieren?
Do you want to risk that?	Willst du das wagen?
Do you want to risk that?	Wollt ihr das wagen?
Do you want to risk that?	Wollen Sie das wagen?
Do you want to save them?	Möchtest du sie retten?
Do you want to take that?	Willst du das nehmen?
Do you want to take that?	Wollt ihr das nehmen?
Do you want to take that?	Wollen Sie das nehmen?
Do you want to try again?	Willst du es noch einmal probieren?
Does Tom have any family?	Hat Tom Familie?
Does Tom know we're here?	Weiß Tom, dass wir hier sind?
Does Tom know where I am?	Weiß Tom, wo ich bin?
Does Tom still live here?	Wohnt Tom noch immer da?
Does Tom want to go home?	Will Tom nach Hause?
Does anybody want a beer?	Möchte jemand Bier?
Does that make any sense?	Ergibt das überhaupt einen Sinn?
Does that make you happy?	Macht dich das glücklich?
Does that make you happy?	Macht euch das glücklich?
Does that make you happy?	Macht Sie das glücklich?
Does that make you happy?	Beglückt euch das?
Does that make you happy?	Beglückt dich das?
Does that make you happy?	Beglückt Sie das?
Does that mean something?	Hat das etwas zu bedeuten?
Does this not please you?	Gefällt dir’s nicht?
Doesn't Tom ever do that?	Tut Tom das denn nie?
Doesn't that smell great?	Riecht das nicht hervorragend?
Doesn't that smell great?	Riecht das nicht wunderbar?
Dog is man's best friend.	Der Hund ist der beste Freund des Menschen.
Dog is man's best friend.	Der Hund ist des Menschen bester Freund.
Dogs can see in the dark.	Hunde können im Dunkeln sehen.
Don't accuse him of that.	Mach ihm das nicht zum Vorwurf.
Don't accuse him of that.	Wirf ihm das nicht vor.
Don't ask me what it was.	Frag mich nicht, was das war!
Don't ask me what it was.	Fragen Sie mich nicht, was das war!
Don't ask me what it was.	Fragt mich nicht, was das war!
Don't be in such a hurry.	Sei nicht in solch einer Eile.
Don't be late for school.	Komm nicht zu spät zur Schule!
Don't be so melodramatic.	Sei nicht so melodramatisch.
Don't break the branches.	Brich die Zweige nicht ab.
Don't break the branches.	Zerbrecht die Äste nicht.
Don't break the branches.	Knicken Sie die Äste nicht ab.
Don't change the channel.	Nicht den Sender wechseln!
Don't change the subject.	Nicht das Thema wechseln!
Don't do anything stupid.	Mach nicht irgendwas Dummes.
Don't ever do that again.	Tu das nie wieder!
Don't ever do that again.	Mach das nie wieder!
Don't ever do that again.	Tun Sie das nie wieder!
Don't ever do this again.	Tu das nie wieder!
Don't ever do this again.	Tun Sie das nie wieder!
Don't feel sorry for Tom.	Tom braucht dir nicht leid zu tun.
Don't forget to call Tom.	Vergiss nicht, Tom anzurufen!
Don't forget to call Tom.	Vergessen Sie nicht, Tom anzurufen!
Don't forget to tell Tom.	Vergiss nicht, es Tom zu sagen!
Don't forget to write me.	Vergiss nicht, mir zu schreiben.
Don't forget to write me.	Vergiss nicht, mir zu schreiben!
Don't forget who you are.	Vergiss nicht, wer du bist!
Don't forget your jacket.	Vergiss nicht deine Jacke!
Don't forget your jacket.	Vergessen Sie nicht Ihre Jacke!
Don't forget your things.	Vergiss deine Sachen nicht.
Don't forget your things.	Vergesst eure Sachen nicht.
Don't forget your things.	Vergessen Sie Ihre Sachen nicht.
Don't forget your ticket.	Vergiss deine Fahrkarte nicht.
Don't forget your ticket.	Vergiss deine Eintrittskarte nicht.
Don't get Tom's hopes up.	Mache Tom keine Hoffnungen!
Don't go out of your way.	Weiche nicht von deinem Weg ab.
Don't go out of your way.	Weichen Sie nicht von Ihrem Weg ab.
Don't hide under the bed.	Versteck dich nicht unter dem Bett.
Don't kill the messenger.	Tötet nicht den Boten!
Don't kill the messenger.	Man erschlägt den Boten nicht.
Don't let go of the rope.	Lass das Seil nicht los.
Don't let me fall asleep.	Lass mich nicht einschlafen.
Don't make fun of others.	Macht euch nicht über andere lustig.
Don't make so much noise.	Mach nicht so viel Lärm.
Don't make so much noise.	Machen Sie nicht so viel Lärm!
Don't make so much noise.	Macht nicht so viel Lärm!
Don't make such a racket!	Mach nicht so einen Terz!
Don't move or I'll shoot.	Keine Bewegung, oder ich schieße!
Don't overexert yourself.	Überanstrengen Sie sich nicht.
Don't overexert yourself.	Überanstrengt euch nicht.
Don't overexert yourself.	Überanstrenge dich nicht.
Don't overexert yourself.	Verausgaben Sie sich nicht.
Don't overexert yourself.	Verausgabt euch nicht.
Don't overexert yourself.	Verausgabe dich nicht.
Don't pick up that phone.	Geh nicht an dieses Telefon ran!
Don't pick up that phone.	Nimm dieses Telefon nicht ab.
Don't pick up that phone.	Geht nicht an dieses Telefon.
Don't pick up that phone.	Nehmen Sie an diesem Telefon nicht ab.
Don't play in the street.	Spiel nicht auf der Straße.
Don't scare me like that!	Erschrick mich doch nicht so!
Don't scare the children.	Jage den Kindern keine Angst ein!
Don't smoke in this room.	In diesem Zimmer wird nicht geraucht.
Don't take it personally.	Nimm es nicht persönlich.
Don't take it personally.	Nimm's nicht persönlich.
Don't talk to the driver.	Nicht mit dem Fahrer sprechen!
Don't tell me to shut up.	Verbiete mir hier nicht den Mund!
Don't tell me what to do.	Erzähl mir nicht, was ich zu tun habe!
Don't tell me what to do.	Erzählen Sie mir nicht, was ich zu tun habe!
Don't tell my girlfriend.	Sage nichts meiner Freundin!
Don't think I didn't try.	Denke nicht, dass ich’s nicht versucht hätte!
Don't think I didn't try.	Denken Sie nicht, dass ich’s nicht versucht hätte!
Don't think I didn't try.	Denkt nicht, dass ich’s nicht versucht hätte!
Don't think I didn't try.	Denk nicht, dass ich’s nicht versucht hätte!
Don't trust what he says.	Verlass dich nicht darauf, was er sagt!
Don't worry about it, OK?	Mach dir deswegen keine Sorgen, okay?
Don't worry about it, OK?	Machen Sie sich deswegen keine Sorgen, ja?
Don't worry about it, OK?	Macht euch deswegen keine Sorgen, okay?
Don't worry about my dog.	Mache dir keine Sorgen um meinen Hund.
Don't worry about my dog.	Mach dir um meinen Hund keine Sorgen.
Don't worry about others.	Mach dir um Andere keine Sorgen.
Don't you ever come back.	Komm bloß nie wieder!
Don't you have any money?	Hast du nicht etwas Geld?
Don't you have any money?	Hast du kein Geld?
Don't you have any money?	Habt ihr kein Geld?
Don't you have any money?	Haben Sie kein Geld?
Don't you know the truth?	Kennst du die Wahrheit nicht?
Don't you move from here.	Beweg dich nicht von der Stelle.
Don't you move from here.	Beweg dich nicht von hier weg.
Don't you recognize them?	Erkennst du sie nicht wieder?
Don't you recognize them?	Erkennen Sie sie nicht wieder?
Don't you recognize them?	Erkennt ihr sie nicht wieder?
Don't you want to go out?	Willst du nicht rausgehen?
Each of them sang a song.	Jeder von ihnen hat ein Lied gesungen.
Each player did his best.	Jeder Spieler gab sein Bestes.
Education begins at home.	Erziehung beginnt zu Hause.
Education starts at home.	Erziehung beginnt zu Hause.
Either you or I am right.	Entweder hast du Recht oder ich.
Either you or I am wrong.	Entweder du oder ich liege falsch.
Enjoy life while you may.	Genieße das Leben, solange du es kannst!
Enthusiasm is contagious.	Enthusiasmus steckt an.
Enthusiasm is contagious.	Enthusiasmus ist ansteckend.
Even Tom doesn't do that.	Selbst Tom tut das nicht.
Even Tom doesn't do that.	Sogar Tom tut das nicht.
Evening was drawing near.	Der Abend nahte.
Every house had a garden.	Alle Häuser hatten einen Garten.
Every rose has its thorn.	Eine dornenlose Rose gibt es nicht.
Everybody but Tom smiled.	Alle außer Tom lächelten.
Everybody knows his name.	Jeder kennt seinen Namen.
Everybody knows his name.	Die ganze Welt kennt seinen Namen.
Everybody knows the news.	Jeder kennt die Nachrichten.
Everybody makes mistakes.	Jeder macht Fehler.
Everybody makes mistakes.	Jeder macht mal einen Fehler.
Everybody makes mistakes.	Jedem unterlaufen Fehler.
Everybody was so excited.	Alle waren so aufgeregt!
Everyone had a good year.	Alle hatten ein gutes Jahr.
Everyone knew what to do.	Jeder wusste, was zu tun war.
Everyone knows about Tom.	Jeder weiß etwas über Tom.
Everyone knows it's true.	Jeder weiß, dass es die Wahrheit ist.
Everyone praises the boy.	Jeder lobt den Jungen.
Everyone sat down to eat.	Alle setzten sich zum Essen.
Everyone seeks happiness.	Jeder ist auf der Suche nach dem Glück.
Everyone wants something.	Jeder will etwas.
Everything else is gravy.	Alles andere ist Zugabe.
Everything has its limit.	Alles hat seine Grenzen.
Everything went smoothly.	Alles verlief reibungslos.
Everything went smoothly.	Alles ging glatt.
Everything went smoothly.	Alles ging reibungslos über die Bühne.
Excuse me for being late.	Entschuldigen Sie bitte meine Verspätung.
Excuse me, may I come in?	Verzeihen Sie, kann ich reinkommen?
Faith can move mountains.	Der Glaube kann Berge versetzen.
Faith can move mountains.	Der Glaube versetzt Berge.
Faithfulness is a virtue.	Treue ist eine Tugend.
Few people have two cars.	Einige Menschen haben zwei Autos.
Few people have two cars.	Wenige Leute haben zwei Autos.
Few people have two cars.	Wenige Menschen haben zwei Autos.
Fill out the application.	Füllen Sie den Antrag aus!
Finish your work quickly.	Beende deine Arbeit schleunigst!
First come, first served.	Wer zuerst kommt, mahlt zuerst.
Five plus three is eight.	Fünf plus drei ist acht.
Five plus three is eight.	Fünf und drei macht acht.
Five plus three is eight.	Fünf und drei ergibt acht.
Five plus three is eight.	Fünf plus drei gleich acht.
Five plus three is eight.	Fünf plus drei ist gleich acht.
Flour is made from wheat.	Mehl wird aus Weizen gemacht.
Food is cheap in Germany.	Lebensmittel sind in Deutschland günstig.
Food shouldn't be wasted.	Nahrung sollte nicht vergeudet werden.
Four plus three is seven.	Vier plus drei ist sieben.
Germs can cause sickness.	Keime können Krankheiten hervorrufen.
Get down from your horse.	Steig von deinem Pferd ab.
Get off at the next stop.	Steigen Sie an der nächsten Haltestelle aus.
Get out of the classroom.	Geht raus aus dem Klassenzimmer.
Get out of the classroom.	Geh raus aus dem Klassenzimmer.
Get your things together.	Pack deine Sachen!
Give Tom a second chance.	Gib Tom noch eine Chance!
Give Tom a second chance.	Geben Sie Tom noch eine Chance!
Give me a hand, will you?	Hilf mir mal kurz!
Give me a hand, will you?	Helft mir mal kurz!
Give me a hand, will you?	Helfen Sie mir mal kurz!
Give me a piece of chalk.	Gebt mir ein Stück Kreide.
Give me a piece of paper.	Gib mir ein Stück Papier.
Give me a piece of paper.	Geben Sie mir ein Stück Papier.
Give me something to eat.	Gib mir etwas zu essen.
Give me the salt, please.	Gib mir das Salz, bitte.
Go ahead with your story.	Erzähl weiter.
Go ahead with your story.	Fahre mit deiner Geschichte fort!
Go and help your brother.	Geht und helft eurem Bruder.
Golf isn't my cup of tea.	Golf ist nicht mein Ding.
Good luck convincing him.	Viel Glück dabei, ihn zu überzeugen!
Grab as much as you need.	Nimm dir so viel, wie du brauchst.
Grab as much as you need.	Nehmt euch so viel, wie ihr braucht.
Grab as much as you need.	Nehmen Sie sich so viel, wie Sie brauchen.
Greece is an old country.	Griechenland ist ein altes Land.
Hardly anyone even tries.	Kaum jemand versucht es überhaupt.
Has Tom finished already?	Ist Tom schon fertig geworden?
Have you come to save me?	Bist du gekommen, um mich zu retten?
Have you come to save me?	Seid ihr gekommen, um mich zu retten?
Have you come to save me?	Sind Sie zu meiner Rettung gekommen?
Have you eaten lunch yet?	Hast du schon zu Mittag gegessen?
Have you eaten lunch yet?	Haben Sie schon zu Mittag gegessen?
Have you eaten lunch yet?	Hattest du schon Mittagessen?
Have you ever been on TV?	Warst du schon einmal im Fernsehen?
Have you ever been there?	Sind Sie jemals dort gewesen?
Have you ever been there?	Bist du jemals dort gewesen?
Have you ever seen a UFO?	Hast du jemals ein UFO gesehen?
Have you ever sold a car?	Hast du jemals ein Auto verkauft?
Have you fed the dog yet?	Hast du dem Hund schon etwas zu fressen gegeben?
Have you fed the dog yet?	Haben Sie dem Hund schon etwas zu fressen gegeben?
Have you fed the dog yet?	Hast du den Hund schon gefüttert?
Have you fed the dog yet?	Haben Sie den Hund schon gefüttert?
Have you fed the dog yet?	Habt ihr den Hund schon gefüttert?
Have you finished dinner?	Bist du mit dem Abendessen fertig?
Have you found something?	Hast du etwas gefunden?
Have you found something?	Habt ihr etwas gefunden?
Have you found something?	Haben Sie etwas gefunden?
Have you made a decision?	Hast du dich entschieden?
Have you made a decision?	Haben Sie sich entschieden?
Have you made a decision?	Habt ihr euch entschieden?
Have you met him already?	Hast du ihn schon getroffen?
Have you paid your taxes?	Hast du deine Steuern bezahlt?
Have you paid your taxes?	Habt ihr eure Steuern bezahlt?
Have you paid your taxes?	Haben Sie Ihre Steuern bezahlt?
Have you read the manual?	Hast du das Handbuch gelesen?
Have you seen him before?	Hast du ihn schon einmal gesehen?
Have you seen my new car?	Hast du mein neues Auto gesehen?
Have you seen my red tie?	Hast du meine rote Krawatte gesehen?
Have you seen that movie?	Hast du diesen Film gesehen?
Have you seen that movie?	Haben Sie diesen Film gesehen?
Have you seen that movie?	Habt ihr diesen Film gesehen?
Have you told her mother?	Hast du es ihrer Mutter gesagt?
Have you tried it before?	Haben Sie es schon einmal versucht?
Have you tried it before?	Haben Sie es schon einmal probiert?
Have you tried it before?	Haben Sie es schon einmal ausprobiert?
Have you tried it before?	Habt ihr es schon einmal versucht?
Have you tried it before?	Habt ihr es schon einmal probiert?
Have you tried it before?	Habt ihr es schon einmal ausprobiert?
Have you tried it before?	Hast du es schon einmal versucht?
Have you tried it before?	Hast du es schon einmal probiert?
Have you tried it before?	Hast du es schon einmal ausprobiert?
He acts like a tough guy.	Er führt sich wie ein harter Bursche auf.
He admitted his mistakes.	Er gab seine Fehler zu.
He always keeps his word.	Er hält immer Wort.
He arrived shortly after.	Er kam kurz darauf an.
He became a famous actor.	Er ist ein berühmter Schauspieler geworden.
He became rich overnight.	Er wurde über Nacht reich.
He behaved like a madman.	Er benahm sich wie ein Wahnsinniger.
He behaved like a madman.	Er führte sich auf wie ein Verrückter.
He bought a box of candy.	Er kaufte eine Schachtel Süßigkeiten.
He bought us some drinks.	Er kaufte uns etwas zu trinken.
He built himself a house.	Er baute sich ein Haus.
He called her cell phone.	Er hat sie auf dem Handy angerufen.
He came back from Canada.	Er ist aus Kanada zurückgekehrt.
He came back last August.	Er ist letzten August zurückgekommen.
He can speak French well.	Er kann gut französisch sprechen.
He can't be under thirty.	Er kann nicht unter dreißig sein.
He can't control himself.	Er kann sich nicht beherrschen.
He can't make a decision.	Er kann keine Entscheidung treffen.
He couldn't stop smiling.	Er konnte nicht aufhören zu lächeln.
He couldn't stop smiling.	Er hat nicht aufhören können zu lächeln.
He cut the apple in half.	Er halbierte den Apfel.
He cut the apple in half.	Er schnitt den Apfel in Hälften.
He cut the envelope open.	Er schnitt den Umschlag auf.
He danced all night long.	Er hat die ganze Nacht durchgetanzt.
He danced all night long.	Er hat die ganze Nacht lang getanzt.
He denied having done it.	Er stritt ab, das getan zu haben.
He denied having met her.	Er bestritt, sich mit ihr getroffen zu haben.
He denied the accusation.	Er wies die Anschuldigung von sich.
He denied the accusation.	Er verneinte die Anklage.
He denied the accusation.	Er bestritt die Beschuldigung.
He denies having done it.	Er streitet ab, es getan zu haben.
He denies having said so.	Er streitet ab, das gesagt zu haben.
He deserved to be hanged.	Er hatte es verdient, gehängt zu werden.
He did a pretty good job.	Er hat seine Sache wirklich gut gemacht.
He did a pretty good job.	Er hat ziemlich gute Arbeit geleistet.
He did it without malice.	Er hat es ohne böse Absicht getan.
He did not read the book.	Er hat das Buch nicht gelesen.
He did the best he could.	Er tat sein Bestes.
He didn't drink the milk.	Er trank die Milch nicht.
He didn't tell the truth.	Er sagte nicht die Wahrheit.
He died a few days later.	Er starb ein paar Tage danach.
He discovered a new star.	Er hat einen neuen Stern entdeckt.
He discovered a new star.	Er entdeckte einen neuen Stern.
He disregarded my advice.	Er ignorierte meinen Ratschlag.
He does not get up early.	Er steht nicht früh auf.
He doesn't drink anymore.	Er trinkt nicht mehr.
He doesn't have a hat on.	Er hat keinen Hut auf.
He doesn't have a sister.	Er hat keine Schwester.
He doesn't have a ticket.	Er hat keinen Fahrschein.
He doesn't have any pets.	Er hat keine Haustiere.
He doesn't live far away.	Er wohnt nicht weit weg.
He doesn't understand me.	Er versteht mich nicht.
He drank a lot yesterday.	Er hat gestern viel getrunken.
He dressed up as a woman.	Er verkleidete sich als Frau.
He dressed very modestly.	Er kleidete sich sehr bescheiden.
He drives a pickup truck.	Er fährt einen Pickup.
He drives a pickup truck.	Er fährt einen Abschleppwagen.
He drives a pickup truck.	Er fährt einen Pritschenwagen.
He drives a pickup truck.	Er fährt einen offenen Kleintransporter.
He dropped the anchovies.	Er ließ die Anchovis fallen.
He dwells in the country.	Er lebt auf dem Land.
He earns twice my salary.	Er verdient das Doppelte meines Gehalts.
He eats around the clock.	Er isst rund um die Uhr.
He enjoys playing tennis.	Tennisspielen macht ihm Freude.
He enjoys playing tennis.	Er hat Freude am Tennisspielen.
He excels in many sports.	Er zeichnet sich in vielen Sportarten aus.
He extinguished the fire.	Er löschte das Feuer.
He fell for her big time.	Er hat sich total in sie verknallt.
He fired most of his men.	Er feuerte die meisten seiner Männer.
He fired most of his men.	Er hat die meisten seiner Männer gefeuert.
He fired most of his men.	Er hat die meisten seiner Männer rausgeschmissen.
He found a broken camera.	Er hat einen kaputten Fotoapparat gefunden.
He found a broken camera.	Er hat eine kaputte Kamera gefunden.
He found a broken camera.	Er fand eine kaputte Kamera.
He found the door closed.	Er fand die Tür verschlossen vor.
He found the door locked.	Er fand die Tür verschlossen vor.
He gave me a blank stare.	Er starrte mich mit leerem Blick an.
He gave me all his money.	Er gab mir all sein Geld.
He gave me all his money.	Er hat mir sein ganzes Geld gegeben.
He gave me what I needed.	Er gab mir, was ich brauchte.
He had a hasty breakfast.	Er hat eilig gefrühstückt.
He had dinner by himself.	Er aß allein zu Abend.
He had few other friends.	Er hatte wenig andere Freunde.
He had his wallet stolen.	Seine Brieftasche wurde ihm gestohlen.
He had to clean his room.	Er musste sein Zimmer putzen.
He had to face the music.	Er musste die Suppe auslöffeln.
He had to pawn his watch.	Er musste seine Uhr verpfänden.
He had trouble breathing.	Das Atmen fiel ihm schwer.
He has a friendly nature.	Er hat ein freundliches Wesen.
He has a good reputation.	Er hat einen guten Ruf.
He has a heart condition.	Er ist herzkrank.
He has a heart condition.	Er hat etwas mit seinem Herzen.
He has a small advantage.	Er hat einen kleinen Vorteil.
He has already gone home.	Er ist bereits heimgegangen.
He has already gone home.	Er ist schon nach Hause gegangen.
He has broken the record.	Er hat den Rekord gebrochen.
He has made me what I am.	Er hat mich zu dem gemacht, was ich bin.
He has never been abroad.	Er war noch nie im Ausland.
He has never hurt anyone.	Er hat nie jemand geschadet.
He has never hurt anyone.	Er hat nie jemandem wehgetan.
He has never played golf.	Er hat nie Golf gespielt.
He has run out of energy.	Er hat seine Energie aufgebraucht.
He has run out of energy.	Er hat seine Energie verbraucht.
He has written two books.	Er hat zwei Bücher geschrieben.
He heard the dog barking.	Er hat den Hund bellen hören.
He heard the dog barking.	Er hörte den Hund bellen.
He hesitated for a while.	Er zögerte eine Weile.
He hired a new secretary.	Er stellte eine neue Sekretärin ein.
He hired a new secretary.	Er stellte einen neuen Sekretär ein.
He insulted me in public.	Er hat mich öffentlich beleidigt.
He intended to marry her.	Er hatte vor, sie zu heiraten.
He intended to marry her.	Er hatte die Absicht, sie zu heiraten.
He is a childhood friend.	Er ist ein Freund aus Kindertagen.
He is a man of character.	Er ist ein Mann von Charakter.
He is a man of few words.	Er ist ein Mann weniger Worte.
He is a typical Japanese.	Er ist ein typischer Japaner.
He is a very good batter.	Er ist ein sehr guter Schläger.
He is afraid of swimming.	Er hat Angst vorm Schwimmen.
He is after a better job.	Er sucht eine bessere Arbeit.
He is almost always home.	Er ist fast immer zuhause.
He is always complaining.	Er beschwert sich die ganze Zeit.
He is always complaining.	Er beschwert sich ständig.
He is always on the move.	Er ist ständig auf Achse.
He is an English teacher.	Er ist Englischlehrer.
He is an intelligent boy.	Er ist ein kluger Junge.
He is anxious to see you.	Er will dich unbedingt treffen.
He is armed to the teeth.	Er ist bis an die Zähne bewaffnet.
He is arrogant toward us.	Er ist uns gegenüber arrogant.
He is as healthy as ever.	Er ist wie immer wohl auf.
He is by no means stupid.	Dumm ist er auf keinen Fall.
He is employed in a bank.	Er ist bei einer Bank beschäftigt.
He is famous as a doctor.	Er ist als Arzt berühmt.
He is impossible to beat.	Es ist unmöglich, ihn zu schlagen.
He is in the tenth grade.	Er ist in der zehnten Klasse.
He is lying on the bench.	Er liegt auf der Bank.
He is not up to the task.	Er ist der Aufgabe nicht gewachsen.
He is nothing but a liar.	Er ist nur ein Lügner.
He is nothing but a liar.	Er ist nichts weiter als ein Lügner.
He is nothing but a liar.	Er ist schlicht und einfach ein Lügner.
He is opening the window.	Er macht das Fenster auf.
He is playing over there.	Er spielt dort drüben.
He is rich and I am poor.	Er ist reich und ich bin arm.
He is selfish and greedy.	Er ist egoistisch und gierig.
He is stronger than I am.	Er hat mehr Kraft als ich.
He is stronger than I am.	Er ist stärker als ich.
He is stronger than ever.	Er ist stärker als je zuvor.
He is very fond of music.	Musik mag er sehr.
He is wearing sunglasses.	Er trägt eine Sonnenbrille.
He is wearing sunglasses.	Er hat eine Sonnenbrille auf.
He is young and immature.	Er ist jung und unreif.
He isn't able to do that.	Er ist nicht in der Lage dazu.
He isn't afraid of death.	Er hat keine Angst vor dem Tod.
He isn't afraid of death.	Er fürchtet sich vor dem Tod nicht.
He isn't afraid of death.	Er fürchtet den Tod nicht.
He isn't afraid of death.	Er ängstigt sich vor dem Tod nicht.
He jumped into the water.	Er sprang ins Wasser.
He jumped out the window.	Er ist aus dem Fenster gesprungen.
He jumped over the hedge.	Er sprang über die Hecke.
He jumped over the hedge.	Er ist über die Hecke gesprungen.
He knows a lot of people.	Er kennt viele Leute.
He knows how to fry eggs.	Er weiß, wie man Eier brät.
He knows what annoys her.	Er weiß, was sie nervt.
He knows what's going on.	Er weiß, was vor sich geht.
He knows what's going on.	Er weiß, was sich zuträgt.
He laughed for no reason.	Er lachte ohne Grund.
He led us to the station.	Er führte uns bis zum Bahnhof.
He leveled his gun at me.	Er legte sein Gewehr auf mich an.
He likes chicken nuggets.	Er isst gerne Hähnchennuggets.
He likes games of chance.	Ihm gefallen Glücksspiele.
He likes music very much.	Er mag Musik sehr.
He likes to talk of love.	Er spricht gerne über die Liebe.
He lived an unhappy life.	Er lebte ein ungückliches Leben.
He lives a long way away.	Er lebt jwd.
He lives in a huge house.	Er wohnt in einem gewaltigen Haus.
He lives in an apartment.	Er hat eine Wohnung.
He lives next door to us.	Er wohnt nebenan.
He lives with his mother.	Er wohnt bei seiner Mutter.
He looked at her angrily.	Er sah sie wütend an.
He looks like a good boy.	Er sieht wie ein guter Junge aus.
He looks like his father.	Er sieht wie sein Vater aus.
He looks like his mother.	Er sieht wie seine Mutter aus.
He looks much better now.	Er sieht jetzt viel besser aus.
He looks old for his age.	Er sieht alt aus für sein Alter.
He lost his movie ticket.	Er hat seine Eintrittskarte für das Kino verloren.
He made friends with Tom.	Er freundete sich mit Tom an.
He made fun of my accent.	Er machte sich über meinen Akzent lustig.
He made me his assistant.	Er machte mich zu seinem Assistenten.
He made the right choice.	Er hat die richtige Wahl getroffen.
He married a pretty girl.	Er heiratete ein hübsches Mädchen.
He missed the last train.	Er hat den letzten Zug verpasst.
He must be Tom's brother.	Er muss Toms Bruder sein.
He must be the principal.	Er muss der Rektor sein.
He must be the principal.	Er muss der Schulleiter sein.
He must be the principal.	Er muss der Chef sein.
He never breaks promises.	Er bricht Versprechen nie.
He never takes the train.	Er fährt nie mit dem Zug.
He opened a can of worms.	Er hat ins Wespennest gestochen.
He opened a can of worms.	Er stach ins Wespennest.
He opened his mouth wide.	Er machte seinen Mund weit auf.
He ordered three dinners.	Er hat drei Abendessen bestellt.
He overlooked my mistake.	Er übersah meinen Fehler.
He overlooked my mistake.	Er hat meinen Fehler übersehen.
He owns a good few sheep.	Er besitzt nicht ganz wenige Schafe.
He owns a good few sheep.	Die Zahl seiner Schafe ist nicht unbeträchtlich.
He painted the door blue.	Er hat die Tür blau angestrichen.
He passed away yesterday.	Er ist gestern verschieden.
He passed away yesterday.	Er ist gestern entschlafen.
He picked up a red stone.	Er hob einen roten Stein auf.
He played his trump card.	Er spielte seinen Trumpf aus.
He plays chess very well.	Er spielt sehr gut Schach.
He politely corrected me.	Er berichtigte mich höflich.
He promised not to smoke.	Er versprach mir, nicht zu rauchen.
He promised not to smoke.	Er hat mir versprochen, nicht zu rauchen.
He promised not to smoke.	Er versprach, nicht zu rauchen.
He promised not to smoke.	Er hat versprochen, nicht zu rauchen.
He promised to marry her.	Er versprach, sie zu heiraten.
He put a cap on his head.	Er setzte sich eine Kappe auf den Kopf.
He put his room in order.	Er hat sein Zimmer aufgeräumt.
He put on the red jacket.	Er hat die rote Jacke angezogen.
He put on the red jacket.	Er zog das rote Jackett an.
He put on the red jacket.	Er hat das rote Sacco angezogen.
He put the blame upon me.	Er beschuldigte mich.
He put the blame upon me.	Er schob die Schuld auf mich.
He received me cordially.	Er empfing mich herzlich.
He repeated his question.	Er wiederholte seine Frage.
